ID;TOPONIM;ORT_ANT;NUME_ALT;LIMBA;COD1;COD2;COD3;UAT;UAT_ACT;LAT_WGS84;LONG_WGS84;X_STEREO;Y_STEREO
10000;Ac Punar;;;turcă;100;1001;101;Cârjelari;Cerna;45.044005;28.380079;766335.9572;399408.6793
10001;Ac Punar;Ak-Pinar, Apânar;Mircea Vodă;turcă;400;4001;401;Cârjelari;Cerna;45.035918;28.354736;764378.0896;398426.7775
10002;Aganim; ; ;turcă;200;2002;201;Măcin;Măcin;45.274753;28.119563;744825.9638;424207.0042
10003;Valea Ai Ormanului; ;Peceneaga;turcă;100;1001;101;Peceneaga;Dorobanțu;44.970578;28.2796;758757.7221;390925.2345
10004;Ai Orman; ; ;turcă;400;4001;401;Coium-Punar;Dorobanțu;44.95989;28.286727;759368.2019;389761.1536
10005;Azaclâu;Zaclăii;23 August, I.C. Brătianu;turcă;400;4001;401;Pisica;I.C.Brătianu;45.407478;28.05101;738887.9989;438741.9763
10006;Baba-Bair; ; ;turcă;200;2002;201;Coium-Punar;Dorobanțu;44.927898;28.262582;757608.5958;386130.3166
10007;Grindul Baghiei; ; ;română;200;2002;202;Măcin;Smârdan;45.308412;28.051824;739371.2444;427740.9135
10008;Apa Bălanu; ; ;română;100;1001;102;Turcoaia;Cerna;45.064565;28.180836;750557.3952;401050.8832
10009;Balta Bălășeșci; ; ;română;100;1002;103;Pisica;I.C.Brătianu;45.387982;28.059502;739635.206;436601.8815
10010;Bisericuța; ; ;română;400;4004;404;Văcăreni;Jijila;45.37867;28.139159;745910.1265;435809.0771
10011;Dealul Borun-Bair; ; ;turcă;200;2002;201;Cârjelari;Dorobanțu;44.964998;28.309405;761133.0789;390401.9134
10012;Valea Bostanelor; ; ;română;100;1001;101;Jijila;Jijila;45.271838;28.199818;751132.5636;424131.535
10013;Grindul Brăilei; ; ;română;200;2002;202;Pisica;Grindu;45.421245;28.241329;753716.0005;440856.6089
10014;Gârla Brăilei; ; ;română;100;1001;102;Pisica;Grindu;45.42202;28.230899;752896.7319;440909.6819
10015;Valea lui Bran; ; ;slavă;100;1001;101;Văcăreni;Jijila;45.300873;28.175267;749079.3022;427279.7789
10016;Movila Breazului; ; ;română;200;2002;203;Peceneaga;Cerna;45.001599;28.210048;753136.4432;394149.0364
10017;Dealul Bugeac; ; ;turcă;200;2002;201;Văcăreni;Jijila;45.38093;28.123766;744695.4071;436012.9444
10018;Bujor; ; ;română;200;2002;201;Turcoaia;Turcoaia;45.114979;28.227398;753997.0666;406796.5372
10019;Cale-Bair; ; ;turcă;200;2002;201;Satu-Nou;Cerna;45.030482;28.24594;755834.9319;397470.6719
10020;Apa Calistriei; ;Lunca Plopilor;incert;100;1001;101;Greci;Greci;45.173992;28.229497;753898.1281;413357.5372
10021;Camber-Tepesi; ; ;turcă;200;2002;201;Coium-Punar;Dorobanțu;44.923596;28.271647;758343.2781;385681.6067
10022;Cana-Mișea; ; ;turcă;100;1001;101;Coium-Punar;Dorobanțu;44.911747;28.270462;758303.3536;384361.7911
10023;Canat Calfa; ; ;turcă;200;2002;201;Coium-Punar;Dorobanțu;44.938559;28.316904;761845.6359;387489.9018
10024;Canat Calfa; ;Meșteru;turcă;100;1001;101;Coium-Punar;Dorobanțu;44.94093;28.307024;761055.4236;387721.0951
10025;Canat Calfa; ; ;turcă;400;4001;401;Coium-Punar;Dorobanțu;44.92624;28.303349;760832.6398;386077.6361
10026;Valea Caprei; ; ;română;100;1001;101;Cârjelari;Dorobanțu;44.935761;28.374698;766417.6474;387369.0732
10027;Caracicula; ; ;turcă;200;2002;201;Cerna;Cerna;45.103507;28.241106;755126.567;405565.8643
10028;Crapcea; ;Carapcea;turcă;200;2002;201;Cârjelari;Cerna;45.074094;28.359685;764590.2716;402682.9955
10029;Dealul Cărărilor; ; ;română;200;2002;201;Văcăreni;Văcăreni;45.318738;28.17918;749307.2322;429276.1869
10030;Carcaliu; ; ;română;400;4002;402;Carcaliu;Carcaliu;45.185085;28.142167;746989.1797;414316.9541
10031;Cardonu Turcesc; ; ;rusă;400;4004;406;Peceneaga;Peceneaga;45.021115;28.172558;750096.6061;396199.193
10032;Cârjelari; ; ;română;100;1001;101;Cârjelari;Dorobanțu;44.96148;28.358261;765001.5441;390171.1338
10033;Cârjelari; ;Ai Orman;română;100;1001;101;Cârjelari;Dorobanțu;44.941633;28.328259;762727.2076;387868.3657
10034;Cârjelari;Kiedjilar, Kardjelar, Cadjilari; ;română;400;4002;402;Cârjelari;Dorobanțu;44.9618;28.338712;763458.6072;390142.3938
10035;Movila Cazacilor; ; ;rusă;200;2002;201;Peceneaga;Peceneaga;44.99466;28.157071;748992.2214;393212.783
10036;Cerna; ; ;slavă;200;2002;201;Cerna;Cerna;45.060946;28.322034;761687.782;401099.3399
10037;Cerna; ; ;slavă;200;2003;204;Cerna;Cerna;45.086804;28.279646;758233.831;403833.9803
10038;Cerna; ; ;slavă;100;1001;101;Cerna;Cerna;45.104351;28.3318;762256.2712;405951.9122
10039;Cerna;Tcherna, Czerna; ;slavă;400;4002;402;Cerna;Cerna;45.079476;28.298559;759755.3497;403081.1182
10040;Certe Tele; ; ;incert;100;1002;104;Turcoaia;Turcoaia;45.09174;28.17772;750192.5742;404059.4271
10041;Dealul Cheia; ; ;română;200;2002;201;Măcin;Jijila;45.276056;28.151314;747310.2251;424449.2041
10042;Chiciu; ; ;incert;200;2002;205;Pisica;I.C.Brătianu;45.427188;28.071677;740420.8942;440993.0818
